Make,Duty,Vehicle Type
SHANGHAI HOWHIT MACHINERY,"Light Duty (10,000 lbs GVWR or less)",269. SHANGHAI HOWHIT MACHINERY - Motorcycle
BASHAN,"Light Duty (10,000 lbs GVWR or less)",270. BASHAN - Motorcycle
KINGRING,"Light Duty (10,000 lbs GVWR or less)",271. KINGRING - Motorcycle
AZURE DYNAMICS,"Light Duty (10,000 lbs GVWR or less)",272. AZURE DYNAMICS - Light Commercial Truck
FISKER AUTOMOTIVE,"Light Duty (10,000 lbs GVWR or less)",273. FISKER AUTOMOTIVE - Passenger Car
GUANGDONG QINGXIN LIANTONG,"Light Duty (10,000 lbs GVWR or less)",274. GUANGDONG QINGXIN LIANTONG - Motorcycle
MCLAREN AUTOMOTIVE,"Light Duty (10,000 lbs GVWR or less)",275. MCLAREN AUTOMOTIVE - Passenger Car
SKYTEAM,"Light Duty (10,000 lbs GVWR or less)",276. SKYTEAM - Motorcycle
CALIFORNIA SCOOTER CO,"Light Duty (10,000 lbs GVWR or less)",277. CALIFORNIA SCOOTER CO - Motorcycle
HARDCORE CHOPPERS,"Light Duty (10,000 lbs GVWR or less)",278. HARDCORE CHOPPERS - Motorcycle
NORTON MOTORCYCLES,"Light Duty (10,000 lbs GVWR or less)",279. NORTON MOTORCYCLES - Motorcycle
RAM,"Light Duty (10,000 lbs GVWR or less)",280. RAM - Light Commercial Truck
SHANDONG LIANGZI POWER CO,"Light Duty (10,000 lbs GVWR or less)",281. SHANDONG LIANGZI POWER CO - Motorcycle
ZHEJIANG EASY VEHICLE,"Light Duty (10,000 lbs GVWR or less)",282. ZHEJIANG EASY VEHICLE - Motorcycle
JIAJUE,"Light Duty (10,000 lbs GVWR or less)",283. JIAJUE - Motorcycle
QIYE,"Light Duty (10,000 lbs GVWR or less)",284. QIYE - Motorcycle
ROKON,"Light Duty (10,000 lbs GVWR or less)",285. ROKON - Motorcycle
BAODIAO MOTORCYCLE,"Light Duty (10,000 lbs GVWR or less)",286. BAODIAO MOTORCYCLE - Motorcycle
GENESIS,"Light Duty (10,000 lbs GVWR or less)",287. GENESIS - Passenger Car
LONGJIA,"Light Duty (10,000 lbs GVWR or less)",288. LONGJIA - Motorcycle
VANDERHALL,"Light Duty (10,000 lbs GVWR or less)",289. VANDERHALL - Motorcycle
APOLLO VEHICLE,"Light Duty (10,000 lbs GVWR or less)",290. APOLLO VEHICLE - Motorcycle
ELECTRA MECCANICA VEHICLES CORPORATION,"Light Duty (10,000 lbs GVWR or less)",291. ELECTRA MECCANICA VEHICLES CORPORATION - Passenger Car
KARMA AUTOMOTIVE LLC,"Light Duty (10,000 lbs GVWR or less)",292. KARMA AUTOMOTIVE LLC - Passenger Car
CHARMING MOTORCYCLE MFG CO LTD,"Light Duty (10,000 lbs GVWR or less)",293. CHARMING MOTORCYCLE MFG CO LTD - Motorcycle
ENERGICA,"Light Duty (10,000 lbs GVWR or less)",294. ENERGICA - Motorcycle
POLESTAR,"Light Duty (10,000 lbs GVWR or less)",295. POLESTAR - Passenger Car
SHINERAY,"Light Duty (10,000 lbs GVWR or less)",296. SHINERAY - Motorcycle
LIVEWIRE,"Light Duty (10,000 lbs GVWR or less)",297. LIVEWIRE - Motorcycle
XOS,"Light Duty (10,000 lbs GVWR or less)",298. XOS - Light Commercial Truck
ARCIMOTO,"Light Duty (10,000 lbs GVWR or less)",299. ARCIMOTO - Motorcycle
BUGATTI,"Light Duty (10,000 lbs GVWR or less)",300. BUGATTI - Passenger Car
LUCID MOTORS,"Light Duty (10,000 lbs GVWR or less)",301. LUCID MOTORS - Passenger Car
RIVIAN,"Light Duty (10,000 lbs GVWR or less)",302. RIVIAN - Light Commercial Truck
